,hedger,weight,asset
9,CHZ,0.05,ENJ
10,ETC,0.02,ENJ
11,XTZ,0.01,ENJ
12,THETA,0.04,ENJ
13,ONE,0.13,ENJ
14,ALGO,0.08,ENJ
15,BAT,0.05,ENJ
0,VET,0.13,SUSHI
1,DASH,0.07,SUSHI
2,MATIC,0.0,SUSHI
3,ZEC,0.08,SUSHI
4,FTM,0.11,SUSHI
5,ATOM,0.07,SUSHI
6,LINK,0.03,SUSHI
7,THETA,0.04,SUSHI
8,ONE,0.18,SUSHI
9,ALGO,0.29,SUSHI
0,EOS,0.21,WLD
1,DASH,0.16,WLD
2,ETH,0.05,WLD
3,FET,0.11,WLD
4,WAVES,0.14,WLD
5,FTM,0.07,WLD
6,ATOM,0.0,WLD
7,LINK,0.11,WLD
8,CHZ,0.09,WLD
9,LTC,0.04,WLD
0,VET,0.09,STORJ
1,ETH,0.13,STORJ
2,ENJ,0.0,STORJ
3,HOT,0.08,STORJ
4,ZIL,0.1,STORJ
5,RVN,0.05,STORJ
6,LINK,0.12,STORJ
7,CHZ,0.06,STORJ
8,THETA,0.08,STORJ
9,IOTX,0.16,STORJ
10,BAT,0.13,STORJ
0,EOS,0.06,CELO
1,DASH,0.11,CELO
2,HOT,0.07,CELO
3,ZIL,0.05,CELO
4,ZEC,0.15,CELO
5,CHZ,0.19,CELO
6,THETA,0.04,CELO
7,ONE,0.04,CELO
8,ALGO,0.21,CELO
9,BAT,0.09,CELO
0,VET,0.12,SFP
1,EOS,0.05,SFP
2,DASH,0.08,SFP
3,BNB,0.18,SFP
4,HOT,0.01,SFP
5,ZIL,0.05,SFP
6,BAND,0.06,SFP
7,MATIC,0.03,SFP
8,ZEC,0.15,SFP
9,RVN,0.05,SFP
10,CHZ,0.09,SFP
11,THETA,0.06,SFP
12,ONE,0.04,SFP
13,LTC,0.04,SFP
0,EOS,0.11,MASK
1,DASH,0.1,MASK
2,BAND,0.07,MASK
3,ZEC,0.16,MASK
4,FTM,0.08,MASK
5,DOGE,0.28,MASK
6,RVN,0.05,MASK
7,ONE,0.15,MASK
0,TFUEL,0.07,JST
1,VET,0.07,JST
2,QTUM,0.2,JST
3,TRX,0.52,JST
4,ONT,0.14,JST
0,EOS,0.23,YFI
1,DASH,0.06,YFI
2,MATIC,0.21,YFI
3,ZEC,0.09,YFI
4,FTM,0.15,YFI
5,DOGE,0.05,YFI
6,ADA,0.02,YFI
7,RVN,0.09,YFI
8,ETC,0.04,YFI
9,ALGO,0.06,YFI
0,VET,0.08,OCEAN
1,DASH,0.02,OCEAN
2,FET,0.3,OCEAN
3,ZIL,0.09,OCEAN
4,ETC,0.08,OCEAN
5,THETA,0.08,OCEAN
6,ONE,0.24,OCEAN
7,ALGO,0.11,OCEAN
0,VET,0.1,HOT
1,EOS,0.02,HOT
2,DASH,0.07,HOT
3,ZIL,0.12,HOT
4,BAND,0.13,HOT
5,ZEC,0.1,HOT
6,ADA,0.04,HOT
7,ATOM,0.07,HOT
8,RVN,0.05,HOT
9,CHZ,0.05,HOT
10,THETA,0.05,HOT
11,ONE,0.02,HOT
12,ALGO,0.12,HOT
13,BAT,0.07,HOT
0,XMR,0.66,BTG
1,BCH,0.13,BTG
2,XLM,0.17,BTG
3,STPT,0.04,BTG
0,VET,0.05,ENS
1,EOS,0.07,ENS
2,DASH,0.1,ENS
3,HOT,0.1,ENS
4,ZEC,0.14,ENS
5,FTM,0.07,ENS
6,ATOM,0.04,ENS
7,RVN,0.09,ENS
8,CHZ,0.04,ENS
9,ETC,0.09,ENS
10,ONE,0.13,ENS
11,ALGO,0.08,ENS
0,VET,0.08,ANKR
1,DASH,0.1,ANKR
2,HOT,0.03,ANKR
3,ZIL,0.52,ANKR
4,RVN,0.07,ANKR
5,CHZ,0.06,ANKR
6,ETC,0.04,ANKR
7,THETA,0.04,ANKR
8,BTC,0.06,ANKR
0,VET,0.05,SSV
1,DASH,0.04,SSV
2,FET,0.1,SSV
3,MATIC,0.12,SSV
4,ZEC,0.3,SSV
5,ATOM,0.06,SSV
6,RVN,0.03,SSV
7,ETC,0.17,SSV
8,ONE,0.12,SSV
0,EOS,0.01,PENDLE
1,ETH,0.34,PENDLE
2,FET,0.07,PENDLE
3,MATIC,0.0,PENDLE
4,ZEC,0.09,PENDLE
5,RVN,0.08,PENDLE
6,STX,0.06,PENDLE
7,ETC,0.22,PENDLE
8,ONE,0.08,PENDLE
9,ALGO,0.03,PENDLE
10,IOST,0.04,PENDLE
0,EOS,0.0,ICX
1,DASH,0.01,ICX
2,ZIL,0.0,ICX
3,ZRX,0.21,ICX
4,THETA,0.03,ICX
5,ALGO,0.09,ICX
6,IOTX,0.06,ICX
7,BAT,0.61,ICX
8,IOST,0.0,ICX
0,EOS,0.11,RVN
1,DASH,0.21,RVN
2,ENJ,0.06,RVN
3,HOT,0.06,RVN
4,ZIL,0.04,RVN
5,ZEC,0.08,RVN
6,ADA,0.06,RVN
7,CHZ,0.05,RVN
8,ETC,0.06,RVN
9,ONE,0.1,RVN
10,ALGO,0.13,RVN
11,LTC,0.05,RVN
0,EOS,0.03,JASMY
1,DASH,0.23,JASMY
2,FET,0.03,JASMY
3,FTM,0.11,JASMY
4,ATOM,0.05,JASMY
5,RVN,0.06,JASMY
6,ETC,0.06,JASMY
7,THETA,0.09,JASMY
8,ONE,0.19,JASMY
9,ALGO,0.15,JASMY
0,HIVE,0.5,GLM
1,ETH,0.09,GLM
2,ZIL,0.08,GLM
3,ANKR,0.16,GLM
4,LSK,0.04,GLM
5,BAT,0.13,GLM
0,KAVA,0.05,WAVES
1,DASH,0.28,WAVES
2,HOT,0.12,WAVES
3,ZIL,0.07,WAVES
4,ZEC,0.02,WAVES
5,FTM,0.09,WAVES
6,ADA,0.07,WAVES
7,RVN,0.09,WAVES
8,THETA,0.04,WAVES
9,ONE,0.0,WAVES
10,ALGO,0.0,WAVES
11,LTC,0.16,WAVES
0,VET,0.09,IOTX
1,EOS,0.02,IOTX
2,DASH,0.17,IOTX
3,HOT,0.07,IOTX
4,ZIL,0.19,IOTX
5,MATIC,0.05,IOTX
6,ZEC,0.06,IOTX
7,RVN,0.07,IOTX
8,LINK,0.04,IOTX
9,ONE,0.11,IOTX
10,ALGO,0.11,IOTX
0,DASH,0.07,ANT
1,ETH,0.64,ANT
2,ZIL,0.07,ANT
3,MATIC,0.07,ANT
4,ZEC,0.09,ANT
5,ONE,0.06,ANT
0,TFUEL,0.05,T
1,VET,0.1,T
2,ZIL,0.31,T
3,ANKR,0.16,T
4,THETA,0.09,T
5,BAT,0.05,T
6,BTC,0.08,T
7,IOST,0.16,T
0,VET,0.1,DCR
1,ETH,0.47,DCR
2,ZEC,0.09,DCR
3,RVN,0.02,DCR
4,XTZ,0.13,DCR
5,ALGO,0.07,DCR
6,IOST,0.13,DCR
0,VET,0.11,AUDIO
1,DASH,0.23,AUDIO
2,BNB,0.0,AUDIO
3,ENJ,0.11,AUDIO
4,HOT,0.11,AUDIO
5,ZIL,0.05,AUDIO
6,FTM,0.06,AUDIO
7,LINK,0.03,AUDIO
8,CHZ,0.03,AUDIO
9,ONE,0.18,AUDIO
10,ALGO,0.09,AUDIO
0,VET,0.12,GLMR
1,EOS,0.06,GLMR
2,ENJ,0.07,GLMR
3,HOT,0.09,GLMR
4,FTM,0.06,GLMR
5,ADA,0.12,GLMR
6,RVN,0.06,GLMR
7,LINK,0.03,GLMR
8,CHZ,0.09,GLMR
9,THETA,0.05,GLMR
10,ONE,0.17,GLMR
11,ALGO,0.02,GLMR
12,BAT,0.06,GLMR
0,DASH,0.26,SKL
1,BNB,0.0,SKL
2,HOT,0.17,SKL
3,ZEC,0.09,SKL
4,FTM,0.06,SKL
5,RVN,0.07,SKL
6,LINK,0.05,SKL
7,THETA,0.12,SKL
8,ONE,0.18,SKL
0,VET,0.12,KSM
1,EOS,0.05,KSM
2,DASH,0.11,KSM
3,ENJ,0.08,KSM
4,HOT,0.06,KSM
5,MATIC,0.04,KSM
6,ZEC,0.13,KSM
7,FTM,0.1,KSM
8,ATOM,0.04,KSM
9,LINK,0.04,KSM
10,THETA,0.05,KSM
11,ONE,0.11,KSM
12,ALGO,0.06,KSM
0,TFUEL,0.04,WAXP
1,ENJ,0.0,WAXP
2,ZIL,0.03,WAXP
3,BAND,0.04,WAXP
4,ANKR,0.01,WAXP
5,RVN,0.03,WAXP
6,CHZ,0.0,WAXP
7,STPT,0.86,WAXP
0,DASH,0.1,MAGIC
1,ENJ,0.16,MAGIC
2,FET,0.12,MAGIC
3,MATIC,0.08,MAGIC
4,FTM,0.12,MAGIC
5,ATOM,0.0,MAGIC
6,RVN,0.11,MAGIC
7,ONE,0.2,MAGIC
8,ALGO,0.13,MAGIC
0,VET,0.04,BAL
1,EOS,0.05,BAL
2,DASH,0.14,BAL
3,ETH,0.29,BAL
4,MATIC,0.05,BAL
5,ZEC,0.04,BAL
6,RVN,0.07,BAL
7,CHZ,0.07,BAL
8,ETC,0.04,BAL
9,THETA,0.08,BAL
10,ONE,0.13,BAL
0,VET,0.07,SXP
1,DASH,0.09,SXP
2,ETH,0.07,SXP
3,HOT,0.06,SXP
4,ZIL,0.11,SXP
5,ADA,0.06,SXP
6,CHZ,0.07,SXP
7,ONE,0.1,SXP
8,ICX,0.02,SXP
9,ALGO,0.15,SXP
10,BAT,0.11,SXP
11,IOTX,0.05,SXP
12,LTC,0.05,SXP
0,VET,0.2,TRB
1,EOS,0.0,TRB
2,DASH,0.0,TRB
3,ETH,0.0,TRB
4,ZIL,0.05,TRB
5,BAND,0.27,TRB
6,MATIC,0.0,TRB
7,ZEC,0.03,TRB
8,LINK,0.1,TRB
9,CHZ,0.0,TRB
10,ALGO,0.2,TRB
11,LTC,0.15,TRB
0,VET,0.1,ONT
1,EOS,0.03,ONT
2,DASH,0.05,ONT
3,NEO,0.11,ONT
4,ETH,0.17,ONT
5,ENJ,0.07,ONT
6,QTUM,0.17,ONT
7,XTZ,0.12,ONT
8,BAT,0.1,ONT
9,IOST,0.09,ONT
0,DASH,0.15,BAND
1,ENJ,0.02,BAND
2,HOT,0.23,BAND
3,ZEC,0.19,BAND
4,RVN,0.09,BAND
5,LINK,0.06,BAND
6,CHZ,0.06,BAND
7,ONE,0.19,BAND
0,DASH,0.05,BICO
1,BNB,0.1,BICO
2,ENJ,0.13,BICO
3,HOT,0.08,BICO
4,BAND,0.07,BICO
5,MATIC,0.07,BICO
6,ZEC,0.18,BICO
7,ATOM,0.04,BICO
8,LINK,0.04,BICO
9,THETA,0.06,BICO
10,ALGO,0.16,BICO
0,VET,0.1,LPT
1,EOS,0.09,LPT
2,DASH,0.09,LPT
3,BNB,0.03,LPT
4,ENJ,0.06,LPT
5,HOT,0.12,LPT
6,MATIC,0.05,LPT
7,RVN,0.05,LPT
8,XTZ,0.16,LPT
9,ONE,0.06,LPT
10,ALGO,0.07,LPT
11,IOTX,0.1,LPT
0,VET,0.27,ARK
1,DASH,0.05,ARK
2,HBAR,0.05,ARK
3,WAVES,0.04,ARK
4,ADA,0.02,ARK
5,STPT,0.18,ARK
6,THETA,0.25,ARK
7,ALGO,0.13,ARK
0,EOS,0.06,FLUX
1,BNB,0.16,FLUX
2,ENJ,0.06,FLUX
3,MATIC,0.04,FLUX
4,THETA,0.05,FLUX
5,ONE,0.08,FLUX
6,ALGO,0.41,FLUX
7,BTC,0.12,FLUX
0,VET,0.04,ONE
1,EOS,0.06,ONE
2,DASH,0.27,ONE
3,HOT,0.05,ONE
4,MATIC,0.02,ONE
5,FTM,0.15,ONE
6,ATOM,0.05,ONE
7,RVN,0.08,ONE
8,CHZ,0.07,ONE
9,ALGO,0.21,ONE
0,TFUEL,0.09,HIVE
1,VET,0.03,HIVE
2,ETH,0.05,HIVE
3,ZIL,0.19,HIVE
4,CHZ,0.09,HIVE
5,XTZ,0.04,HIVE
6,ONT,0.07,HIVE
7,BTC,0.35,HIVE
8,IOST,0.09,HIVE
0,XMR,0.66,POLY
1,BCH,0.13,POLY
2,XLM,0.17,POLY
3,STPT,0.04,POLY
0,ENJ,0.06,PYR
1,FET,0.05,PYR
2,MATIC,0.24,PYR
3,FTM,0.02,PYR
4,ATOM,0.05,PYR
5,RVN,0.12,PYR
6,LINK,0.09,PYR
7,THETA,0.2,PYR
8,ONE,0.04,PYR
9,ALGO,0.13,PYR
0,VET,0.07,IOST
1,EOS,0.09,IOST
2,DASH,0.11,IOST
3,ETH,0.07,IOST
4,ZIL,0.15,IOST
5,IOTA,0.07,IOST
6,ZEC,0.05,IOST
7,QTUM,0.02,IOST
8,RVN,0.06,IOST
9,CHZ,0.03,IOST
10,XTZ,0.15,IOST
11,BAT,0.08,IOST
12,ONT,0.05,IOST
0,TRIBE,1.0,TRIBE
0,EOS,0.11,JOE
1,HOT,0.04,JOE
2,ZEC,0.08,JOE
3,FTM,0.13,JOE
4,ATOM,0.13,JOE
5,LINK,0.05,JOE
6,THETA,0.11,JOE
7,ONE,0.21,JOE
8,ALGO,0.11,JOE
9,IOTX,0.04,JOE
0,VET,0.2,SUPER
1,DASH,0.13,SUPER
2,ETH,0.13,SUPER
3,ZIL,0.12,SUPER
4,ADA,0.11,SUPER
5,LINK,0.22,SUPER
6,LTC,0.09,SUPER
0,HIVE,0.12,SNT
1,TFUEL,0.22,SNT
2,NEO,0.07,SNT
3,ETH,0.1,SNT
4,ZIL,0.11,SNT
5,ANKR,0.17,SNT
6,QTUM,0.0,SNT
7,CHZ,0.06,SNT
8,THETA,0.02,SNT
9,ICX,0.01,SNT
10,ALGO,0.0,SNT
11,ONT,0.12,SNT
12,IOST,0.01,SNT
0,HIVE,0.12,STRAX
1,VET,0.11,STRAX
2,HOT,0.0,STRAX
3,BAND,0.03,STRAX
4,ZRX,0.03,STRAX
5,MATIC,0.12,STRAX
6,LINK,0.0,STRAX
7,STPT,0.44,STRAX
8,LSK,0.05,STRAX
9,THETA,0.06,STRAX
10,ALGO,0.03,STRAX
11,BAT,0.0,STRAX
0,VET,0.09,KDA
1,EOS,0.09,KDA
2,DASH,0.09,KDA
3,BNB,0.05,KDA
4,HOT,0.03,KDA
5,ZEC,0.1,KDA
6,FTM,0.07,KDA
7,LINK,0.06,KDA
8,XTZ,0.03,KDA
9,THETA,0.08,KDA
10,ONE,0.08,KDA
11,ALGO,0.04,KDA
12,BTC,0.19,KDA
0,HIVE,0.3,LSK
1,TFUEL,0.06,LSK
2,BNB,0.07,LSK
3,CHZ,0.09,LSK
4,ETC,0.11,LSK
5,XTZ,0.18,LSK
6,ONT,0.08,LSK
7,BTC,0.11,LSK
0,HIVE,0.26,POLYX
1,TFUEL,0.14,POLYX
2,HOT,0.08,POLYX
3,ZIL,0.0,POLYX
4,LINK,0.0,POLYX
5,CHZ,0.06,POLYX
6,ETC,0.0,POLYX
7,ALGO,0.26,POLYX
8,IOST,0.22,POLYX
0,VET,0.05,GAL
1,DASH,0.34,GAL
2,BNB,0.07,GAL
3,ENJ,0.04,GAL
4,HOT,0.11,GAL
5,FTM,0.05,GAL
6,ATOM,0.06,GAL
7,RVN,0.04,GAL
8,CHZ,0.03,GAL
9,ONE,0.16,GAL
10,ALGO,0.06,GAL
0,EOS,0.06,EDU
1,FET,0.13,EDU
2,ZIL,0.07,EDU
3,MATIC,0.0,EDU
4,ZEC,0.16,EDU
5,ANKR,0.07,EDU
6,FTM,0.11,EDU
7,ONE,0.25,EDU
8,ICX,0.04,EDU
9,ALGO,0.06,EDU
10,IOST,0.05,EDU
0,EOS,0.05,UMA
1,ETH,0.09,UMA
2,HOT,0.07,UMA
3,BAND,0.08,UMA
4,ZEC,0.31,UMA
5,RVN,0.05,UMA
6,ETC,0.03,UMA
7,XTZ,0.1,UMA
8,ONE,0.08,UMA
9,ALGO,0.14,UMA
0,VET,0.12,ZEN
1,EOS,0.06,ZEN
2,DASH,0.08,ZEN
3,BNB,0.02,ZEN
4,MATIC,0.03,ZEN
5,ZEC,0.17,ZEN
6,FTM,0.06,ZEN
7,LINK,0.05,ZEN
8,ONE,0.18,ZEN
9,ALGO,0.21,ZEN
0,VET,0.0,LOOM
1,EOS,0.13,LOOM
2,DASH,0.0,LOOM
3,FET,0.09,LOOM
4,BAND,0.15,LOOM
5,CHZ,0.0,LOOM
6,ETC,0.0,LOOM
7,STPT,0.43,LOOM
8,XTZ,0.14,LOOM
9,THETA,0.03,LOOM
10,ALGO,0.01,LOOM
11,IOTX,0.03,LOOM
0,ONT,1.0,ONG
0,DASH,0.0,ACH
1,NEO,0.03,ACH
2,ETH,0.3,ACH
3,ENJ,0.04,ACH
4,HOT,0.17,ACH
5,FTM,0.06,ACH
6,QTUM,0.06,ACH
7,STX,0.02,ACH
8,XTZ,0.12,ACH
9,ONE,0.11,ACH
10,ALGO,0.1,ACH
0,VET,0.08,RSR
1,EOS,0.11,RSR
2,DASH,0.13,RSR
3,ZEC,0.15,RSR
4,FTM,0.04,RSR
5,RVN,0.08,RSR
6,CHZ,0.03,RSR
7,THETA,0.09,RSR
8,ONE,0.19,RSR
9,ALGO,0.11,RSR
0,DASH,0.18,LQTY
1,ETH,0.09,LQTY
2,ENJ,0.12,LQTY
3,FET,0.08,LQTY
4,ZIL,0.1,LQTY
5,ATOM,0.0,LQTY
6,STX,0.06,LQTY
7,CHZ,0.01,LQTY
8,ONE,0.28,LQTY
9,IOTX,0.08,LQTY
0,VET,0.07,CKB
1,EOS,0.07,CKB
2,DASH,0.08,CKB
3,HOT,0.11,CKB
4,ZIL,0.07,CKB
5,ZEC,0.09,CKB
6,RVN,0.06,CKB
7,STX,0.07,CKB
8,CHZ,0.07,CKB
9,ONE,0.12,CKB
10,ALGO,0.1,CKB
11,LTC,0.05,CKB
12,IOST,0.05,CKB
0,HIVE,0.29,POWR
1,TFUEL,0.07,POWR
2,EOS,0.07,POWR
3,ETH,0.0,POWR
4,ZIL,0.08,POWR
5,ADA,0.0,POWR
6,LINK,0.0,POWR
7,ETC,0.0,POWR
8,XTZ,0.16,POWR
9,LSK,0.05,POWR
10,THETA,0.03,POWR
11,ALGO,0.18,POWR
12,BTC,0.07,POWR
0,HIVE,0.34,PUNDIX
1,VET,0.1,PUNDIX
2,EOS,0.13,PUNDIX
3,HOT,0.03,PUNDIX
4,ZIL,0.05,PUNDIX
5,CHZ,0.12,PUNDIX
6,ETC,0.0,PUNDIX
7,BTC,0.22,PUNDIX
0,EOS,0.1,API3
1,DASH,0.15,API3
2,ETH,0.08,API3
3,HOT,0.0,API3
4,BAND,0.14,API3
5,FTM,0.06,API3
6,ADA,0.06,API3
7,RVN,0.02,API3
8,LINK,0.09,API3
9,THETA,0.09,API3
10,ONE,0.22,API3
0,DASH,0.19,C98
1,HOT,0.11,C98
2,ZIL,0.15,C98
3,BAND,0.08,C98
4,ZEC,0.08,C98
5,FTM,0.07,C98
6,RVN,0.03,C98
7,LINK,0.0,C98
8,ONE,0.12,C98
9,ALGO,0.17,C98
0,VET,0.05,DGB
1,EOS,0.02,DGB
2,DASH,0.11,DGB
3,ETH,0.09,DGB
4,BNB,0.04,DGB
5,HOT,0.08,DGB
6,ZIL,0.09,DGB
7,MATIC,0.05,DGB
8,ZEC,0.04,DGB
9,ADA,0.08,DGB
10,CHZ,0.05,DGB
11,THETA,0.05,DGB
12,ONE,0.07,DGB
13,BTC,0.17,DGB
0,HIVE,0.25,STPT
1,TFUEL,0.16,STPT
2,VET,0.03,STPT
3,ETH,0.11,STPT
4,HOT,0.09,STPT
5,ZIL,0.05,STPT
6,ANKR,0.13,STPT
7,ALGO,0.0,STPT
8,BAT,0.04,STPT
9,BTC,0.13,STPT
10,IOST,0.03,STPT
0,BNB,0.01,DEXE
1,MATIC,0.08,DEXE
2,ATOM,0.08,DEXE
3,IOTX,0.15,DEXE
4,BTC,0.68,DEXE
0,HIVE,0.34,PLA
1,TFUEL,0.12,PLA
2,ZIL,0.09,PLA
3,RVN,0.11,PLA
4,BAT,0.1,PLA
5,BTC,0.16,PLA
6,IOST,0.07,PLA
0,EOS,0.05,GMT
1,ENJ,0.16,GMT
2,ZEC,0.16,GMT
3,FTM,0.17,GMT
4,ATOM,0.02,GMT
5,CHZ,0.1,GMT
6,THETA,0.1,GMT
7,ONE,0.07,GMT
8,ALGO,0.16,GMT
